day,node,cash,water,food,finished,action,from_node,to_node,weather,buy_water,buy_food,consume_water,consume_food,income,note
0,1,5000,100,450,False,buy_start,1,1,,100,450,0,0,0,initial purchase
1,1,5000,92,444,False,stay,1,1,高温,0,0,8,6,0,
2,2,5000,76,432,False,move,1,2,高温,0,0,16,12,0,
3,3,5000,66,418,False,move,2,3,晴朗,0,0,10,14,0,
4,3,5000,56,408,False,stay,3,3,沙暴,0,0,10,10,0,
5,5,5000,46,394,False,move,3,5,晴朗,0,0,10,14,0,
6,10,5000,30,382,False,move,5,10,高温,0,0,16,12,0,
7,10,5000,20,372,False,stay,10,10,沙暴,0,0,10,10,0,
8,15,3460,160,360,False,move,10,15,晴朗,150,2,10,14,0,village purchase
9,13,3460,144,348,False,move,15,13,高温,0,0,16,12,0,
10,12,3460,128,336,False,move,13,12,高温,0,0,16,12,0,
11,12,4460,98,306,False,mine,12,12,沙暴,0,0,30,30,1000,
12,12,5460,74,288,False,mine,12,12,高温,0,0,24,18,1000,
13,12,6460,59,267,False,mine,12,12,晴朗,0,0,15,21,1000,
14,12,7460,35,249,False,mine,12,12,高温,0,0,24,18,1000,
15,13,7460,19,237,False,move,12,13,高温,0,0,16,12,0,
16,15,7210,28,225,False,move,13,15,高温,25,0,16,12,0,village purchase
17,15,7210,18,215,False,stay,15,15,沙暴,0,0,10,10,0,
18,15,5210,208,205,False,stay,15,15,沙暴,200,0,10,10,0,village purchase
19,13,5210,192,193,False,move,15,13,高温,0,0,16,12,0,
20,12,5210,176,181,False,move,13,12,高温,0,0,16,12,0,
21,12,6210,161,160,False,mine,12,12,晴朗,0,0,15,21,1000,
22,12,7210,146,139,False,mine,12,12,晴朗,0,0,15,21,1000,
23,12,8210,122,121,False,mine,12,12,高温,0,0,24,18,1000,
24,12,9210,107,100,False,mine,12,12,晴朗,0,0,15,21,1000,
25,12,10210,77,70,False,mine,12,12,沙暴,0,0,30,30,1000,
26,12,11210,53,52,False,mine,12,12,高温,0,0,24,18,1000,
27,14,11210,43,38,False,move,12,14,晴朗,0,0,10,14,0,
28,16,11210,33,24,False,move,14,16,晴朗,0,0,10,14,0,
29,19,11210,17,12,False,move,16,19,高温,0,0,16,12,0,
30,27,11210,1,0,True,move,19,27,高温,0,0,16,12,0,
